"Core","SampleAssignment","Moisture","Wetting","Suction","Homogenization","Amendments","class","abund","total","relabund"
14,"1.5-drought-precip-control-Intact","drought","precip",1.5,"Intact","control","unsaturated/lignin",767,1400,54.79
14,"50-drought-precip-control-Homogenized","drought","precip",50,"Homogenized","control","aliphatic",197,917,21.48
14,"50-drought-precip-control-Homogenized","drought","precip",50,"Homogenized","control","aromatic",97,917,10.58
14,"50-drought-precip-control-Homogenized","drought","precip",50,"Homogenized","control","condensed_arom",65,917,7.09
14,"50-drought-precip-control-Homogenized","drought","precip",50,"Homogenized","control","unsaturated/lignin",558,917,60.85
14,"50-drought-precip-control-Intact","drought","precip",50,"Intact","control","aliphatic",353,2026,17.42
14,"50-drought-precip-control-Intact","drought","precip",50,"Intact","control","aromatic",430,2026,21.22
14,"50-drought-precip-control-Intact","drought","precip",50,"Intact","control","condensed_arom",135,2026,6.66
14,"50-drought-precip-control-Intact","drought","precip",50,"Intact","control","unsaturated/lignin",1108,2026,54.69
15,"1.5-drought-groundw-control-Intact","drought","groundw",1.5,"Intact","control","aliphatic",97,240,40.42
15,"1.5-drought-groundw-control-Intact","drought","groundw",1.5,"Intact","control","aromatic",10,240,4.17
15,"1.5-drought-groundw-control-Intact","drought","groundw",1.5,"Intact","control","condensed_arom",39,240,16.25
15,"1.5-drought-groundw-control-Intact","drought","groundw",1.5,"Intact","control","unsaturated/lignin",94,240,39.17
15,"50-drought-groundw-control-Homogenized","drought","groundw",50,"Homogenized","control","aliphatic",455,1809,25.15
15,"50-drought-groundw-control-Homogenized","drought","groundw",50,"Homogenized","control","aromatic",241,1809,13.32
15,"50-drought-groundw-control-Homogenized","drought","groundw",50,"Homogenized","control","condensed_arom",185,1809,10.23
15,"50-drought-groundw-control-Homogenized","drought","groundw",50,"Homogenized","control","unsaturated/lignin",928,1809,51.3
15,"50-drought-groundw-control-Intact","drought","groundw",50,"Intact","control","aliphatic",106,884,11.99
15,"50-drought-groundw-control-Intact","drought","groundw",50,"Intact","control","aromatic",80,884,9.05
